,0
0,1.0
1,4.5397868702434395e-05
2,0.0
3,0.0
4,9.079573740486879e-05
5,0.0
6,0.0
7,0.0
8,1.0
9,6.144174602214718e-06
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0003353501304664781
15,2.0611536181902037e-09
16,4.5397868702434395e-05
17,1.0
18,0.01798620996209156
19,0.0
20,0.01798620996209156
21,0.0
22,0.0
23,0.0
24,0.11920292202211755
25,0.0
26,8.315280276641321e-07
27,1.0
28,1.12535162055095e-07
29,1.0
30,0.0024727356917968292
31,0.0
32,1.0003353501304664
33,0.0024727356917968292
34,6.14421235356016e-06
35,1.0003416068402307
36,1.0000062567097643
37,1.0000008315280278
38,1.0000078072306577
39,1.00000697570263
